session_id,logged,gender,age,page_view_time,session_duration_minutes,page_scroll_depth,frustration_count,browser,operating_system,referal_source,date,state,city,contacted
6b7dc2a7-7dd7-11ef-88ed-6045cb84ea6c,1,M,25,27,8,81,0,Edge,Windows,Social media,2024-09-27 03:49:20.661927,Sao Paulo,Sao Paulo,0
6a22186e-7dd7-11ef-b5db-6045cb84ea6c,0,F,33,0,22,90,0,Chrome,Windows,Direct,2024-09-27 05:05:48.383473,Sao Paulo,Campinas,0
6a2a7cd4-7dd7-11ef-a455-6045cb84ea6c,0,F,19,26,26,33,0,Opera,macOS,Search engine,2024-09-28 01:27:26.438472,Rio de Janeiro,Petropolis,1
69c45d3a-7dd7-11ef-9189-6045cb84ea6c,1,F,24,51,77,69,3,FireFox,macOS,Social media,2024-09-27 10:22:55.769196,Minas Gerais,Belo Horizonte,0
6a771a7c-7dd7-11ef-a143-6045cb84ea6c,0,F,17,10,44,38,2,Edge,IOS,Social media,2024-09-27 00:49:06.940581,Rio de Janeiro,Petropolis,1
69c45d64-7dd7-11ef-83ac-6045cb84ea6c,1,F,19,3,9,51,0,Chrome,Android,Direct,2024-09-27 02:27:00.769196,Sao Paulo,Santos,1
699c6ae0-7dd7-11ef-b347-6045cb84ea6c,1,F,26,23,15,67,3,FireFox,Windows,Social media,2024-09-25 23:52:48.507401,Sao Paulo,Campinas,0
6c3ad12e-7dd7-11ef-b569-6045cb84ea6c,0,M,22,10,54,89,0,Edge,Windows,Social media,2024-09-25 01:47:48.900932,Minas Gerais,Ouro Preto,0
6b389c47-7dd7-11ef-a99e-6045cb84ea6c,0,M,25,1,78,3,0,FireFox,Windows,Direct,2024-09-28 06:04:28.208747,Rio de Janeiro,Niteroi,1
6b57cd02-7dd7-11ef-8932-6045cb84ea6c,1,M,31,24,72,14,0,Chrome,Windows,Search engine,2024-09-24 15:31:33.413155,Sao Paulo,Campinas,0
69a25e65-7dd7-11ef-ac3e-6045cb84ea6c,0,F,32,58,43,23,0,FireFox,Android,Social media,2024-09-30 03:45:45.546403,Sao Paulo,Campinas,0
6b02725f-7dd7-11ef-addc-6045cb84ea6c,1,M,19,41,82,29,22,Edge,Windows,Social media,2024-09-27 04:36:46.853781,Minas Gerais,Belo Horizonte,0
6b530835-7dd7-11ef-ad18-6045cb84ea6c,0,M,16,56,54,51,0,FireFox,macOS,Search engine,2024-09-30 02:38:26.381905,Sao Paulo,Campinas,1
6a16b7fa-7dd7-11ef-b67d-6045cb84ea6c,1,F,16,934,16,2,0,FireFox,Android,Social media,2024-09-27 01:45:26.309914,Sao Paulo,Campinas,1
6a469495-7dd7-11ef-a321-6045cb84ea6c,0,F,25,23,77,29,0,Chrome,macOS,Search engine,2024-09-27 16:24:33.622581,Sao Paulo,Campinas,0
69b382f5-7dd7-11ef-a169-6045cb84ea6c,1,F,25,22,55,65,0,Chrome,macOS,Social media,2024-09-27 02:58:40.658750,Sao Paulo,Sao Paulo,0
69e7b377-7dd7-11ef-9dcd-6045cb84ea6c,1,F,20,1,56,10,0,Chrome,Windows,Direct,2024-09-27 02:44:54.001779,Sao Paulo,Campinas,1
6b274e78-7dd7-11ef-9238-6045cb84ea6c,0,M,18,5,3,48,0,Opera,Android,Social media,2024-09-29 02:36:01.095344,Minas Gerais,Belo Horizonte,1
6a1a1374-7dd7-11ef-9a6b-6045cb84ea6c,1,F,24,55,45,27,3,Opera,Android,Social media,2024-09-27 03:38:57.330917,Sao Paulo,Sao Paulo,0
6ad09efb-7dd7-11ef-b006-6045cb84ea6c,0,F,32,1958,9,55,0,Edge,Windows,Social media,2024-09-27 16:33:13.527242,Minas Gerais,Ouro Preto,0
6c068eaa-7dd7-11ef-a9aa-6045cb84ea6c,1,M,29,38,63,87,0,Edge,macOS,Social media,2024-09-24 01:37:36.558441,Rio de Janeiro,Petropolis,0
6a676307-7dd7-11ef-bf12-6045cb84ea6c,0,F,29,17,10,53,0,FireFox,IOS,Social media,2024-09-27 03:54:17.837581,Rio de Janeiro,Rio de Janeiro,0
6b63d9d4-7dd7-11ef-9661-6045cb84ea6c,1,M,22,35,87,46,0,FireFox,Windows,Social media,2024-09-24 03:16:27.492127,Sao Paulo,Sao Paulo,0
69ee529f-7dd7-11ef-90a5-6045cb84ea6c,0,F,19,44,23,50,0,Chrome,IOS,Social media,2024-09-27 04:08:43.044174,Minas Gerais,Uberlandia,1
6a2b4023-7dd7-11ef-962d-6045cb84ea6c,1,F,21,31,49,88,0,Chrome,Windows,Social media,2024-09-27 03:19:06.443472,Rio de Janeiro,Rio de Janeiro,0
6bd8cd99-7dd7-11ef-a5c3-6045cb84ea6c,0,M,23,3,48,96,0,Edge,Windows,Social media,2024-09-30 04:03:42.258585,Sao Paulo,Campinas,0
6b90f90c-7dd7-11ef-8d2d-6045cb84ea6c,1,M,26,31,0,92,8,Chrome,Android,Social media,2024-09-28 16:35:23.787840,Sao Paulo,Campinas,0
6ae5fb15-7dd7-11ef-8dd5-6045cb84ea6c,1,M,32,53,64,21,0,Edge,Windows,Social media,2024-09-27 13:16:04.667227,Minas Gerais,Uberlandia,0
698ea6d6-7dd7-11ef-a5f1-6045cb84ea6c,0,F,21,59,53,6,0,FireFox,Windows,Social media,2024-09-27 02:28:53.417186,Rio de Janeiro,Niteroi,1
697c0aea-7dd7-11ef-bc27-6045cb84ea6c,1,F,28,40,76,45,3,Edge,Android,Direct,2024-09-27 05:04:11.295225,Sao Paulo,Santos,0
6bbeb87d-7dd7-11ef-a754-6045cb84ea6c,1,M,33,5,65,22,0,Edge,Windows,Social media,2024-09-25 04:54:31.087651,Sao Paulo,Sao Paulo,0
6c447d38-7dd7-11ef-8cbf-6045cb84ea6c,1,M,22,11,40,26,0,Edge,Android,Social media,2024-09-24 03:20:53.964318,Sao Paulo,Campinas,1
6a8e7305-7dd7-11ef-9d11-6045cb84ea6c,0,F,20,0,48,31,0,FireFox,Android,Social media,2024-09-28 02:41:04.093581,Minas Gerais,Belo Horizonte,1
6b4bc059-7dd7-11ef-a9d5-6045cb84ea6c,0,M,16,18,12,23,0,Opera,Android,Social media,2024-09-27 00:39:45.334191,Sao Paulo,Santos,1
6bd185b0-7dd7-11ef-82be-6045cb84ea6c,0,M,23,8,28,13,0,Edge,Windows,Social media,2024-09-26 04:23:46.210871,Sao Paulo,Santos,1
699fc65f-7dd7-11ef-8269-6045cb84ea6c,1,F,31,1,63,66,1,Opera,Android,Search engine,2024-09-27 02:59:03.529404,Minas Gerais,Belo Horizonte,0
6c32c232-7dd7-11ef-b512-6045cb84ea6c,1,M,31,18,36,79,0,Chrome,Android,Social media,2024-09-27 01:44:54.848119,Sao Paulo,Sao Paulo,0
6bbeb892-7dd7-11ef-bb7d-6045cb84ea6c,0,M,28,1605,73,42,0,Opera,Android,Social media,2024-09-28 03:22:21.087651,Rio de Janeiro,Petropolis,0
6b556ab3-7dd7-11ef-a437-6045cb84ea6c,1,M,29,46,66,50,0,FireFox,macOS,Social media,2024-09-27 03:52:58.397532,Sao Paulo,Santos,0
6c3610f7-7dd7-11ef-b602-6045cb84ea6c,0,M,27,55,70,91,0,Chrome,Android,Social media,2024-09-27 02:27:04.869795,Minas Gerais,Uberlandia,0
6b3d60f8-7dd7-11ef-b7c9-6045cb84ea6c,0,M,24,51,70,41,0,Edge,Android,Social media,2024-09-29 03:05:12.239997,Minas Gerais,Belo Horizonte,0
6a15f4a8-7dd7-11ef-995d-6045cb84ea6c,0,F,25,53,67,82,3,Chrome,Windows,Search engine,2024-09-28 22:45:06.303914,Rio de Janeiro,Petropolis,0
6997c245-7dd7-11ef-bd23-6045cb84ea6c,0,F,17,50,32,3,0,Edge,Windows,Social media,2024-09-29 01:10:34.476870,Rio de Janeiro,Petropolis,1
6b63d9e9-7dd7-11ef-ba65-6045cb84ea6c,0,M,21,24,32,68,0,Edge,Windows,Social media,2024-09-29 01:53:34.492127,Sao Paulo,Santos,0
6b95cdbd-7dd7-11ef-b4fd-6045cb84ea6c,0,M,19,58,8,52,0,Opera,Windows,Social media,2024-09-27 04:13:36.819500,Sao Paulo,Sao Paulo,1
6bfcd459-7dd7-11ef-8b35-6045cb84ea6c,0,M,26,11,2,5,0,Chrome,Windows,Social media,2024-09-27 03:14:31.494688,Sao Paulo,Santos,1
6a65191d-7dd7-11ef-896f-6045cb84ea6c,0,F,34,56,19,0,0,Edge,IOS,Social media,2024-09-27 03:14:43.822582,Rio de Janeiro,Rio de Janeiro,1
699bf5ad-7dd7-11ef-8141-6045cb84ea6c,0,F,34,22,41,3,2,Chrome,Android,Social media,2024-09-26 04:08:32.504401,Sao Paulo,Sao Paulo,1
6ba6ae66-7dd7-11ef-ade9-6045cb84ea6c,1,M,18,35,30,43,0,Chrome,macOS,Search engine,2024-09-27 03:48:55.930107,Minas Gerais,Ouro Preto,1
6bce8634-7dd7-11ef-aa98-6045cb84ea6c,1,M,26,944,9,16,1,Edge,macOS,Social media,2024-09-27 00:12:45.192224,Minas Gerais,Ouro Preto,1
6c46dfed-7dd7-11ef-bedc-6045cb84ea6c,0,M,28,462,77,92,0,Chrome,Windows,Search engine,2024-09-27 09:16:51.979949,Sao Paulo,Santos,0
6bcf228b-7dd7-11ef-8a6c-6045cb84ea6c,1,M,23,44,58,96,0,Edge,Windows,Direct,2024-09-27 07:23:14.195224,Sao Paulo,Sao Paulo,0
6b5f14d9-7dd7-11ef-bf54-6045cb84ea6c,0,M,21,21,58,24,20,Chrome,Android,Social media,2024-09-28 05:16:01.460871,Minas Gerais,Ouro Preto,0
699689d6-7dd7-11ef-82d9-6045cb84ea6c,0,F,34,34,31,53,0,Edge,macOS,Direct,2024-09-27 02:53:10.468872,Rio de Janeiro,Niteroi,0
69ed5120-7dd7-11ef-9bb2-6045cb84ea6c,1,F,31,48,10,3,1,Chrome,Windows,Social media,2024-09-29 03:49:40.037583,Sao Paulo,Sao Paulo,1
6b1b425f-7dd7-11ef-8dac-6045cb84ea6c,0,M,29,45,86,56,0,Opera,Android,Social media,2024-09-27 02:19:24.016389,Sao Paulo,Campinas,0
69a4715a-7dd7-11ef-99c3-6045cb84ea6c,0,F,30,30,57,34,0,FireFox,Windows,Social media,2024-09-27 02:18:58.559996,Rio de Janeiro,Rio de Janeiro,0
6a076e04-7dd7-11ef-8627-6045cb84ea6c,1,F,16,37,73,1,0,Chrome,Android,Social media,2024-09-27 01:35:48.208717,Rio de Janeiro,Petropolis,1
69f50933-7dd7-11ef-837c-6045cb84ea6c,0,F,18,1849,51,17,0,Edge,Windows,Social media,2024-09-30 03:52:24.088171,Sao Paulo,Campinas,1
69ac32fe-7dd7-11ef-8e3c-6045cb84ea6c,1,F,22,13,53,14,0,Chrome,Windows,Social media,2024-09-27 02:59:14.610825,Rio de Janeiro,Petropolis,1
6a1cc137-7dd7-11ef-a73e-6045cb84ea6c,1,F,25,49,40,77,0,Chrome,macOS,Direct,2024-09-26 00:34:52.348472,Sao Paulo,Sao Paulo,0
6b6b1148-7dd7-11ef-86db-6045cb84ea6c,0,M,16,0,71,70,21,Chrome,Windows,Search engine,2024-09-27 01:30:07.539422,Rio de Janeiro,Petropolis,0
6c1f3072-7dd7-11ef-8466-6045cb84ea6c,1,M,23,42,83,35,0,Edge,Windows,Social media,2024-09-27 02:16:41.719870,Sao Paulo,Campinas,0
6b167dad-7dd7-11ef-ac2d-6045cb84ea6c,0,M,25,49,63,65,0,Chrome,Windows,Social media,2024-09-29 02:58:17.985139,Rio de Janeiro,Rio de Janeiro,0
69fd5be1-7dd7-11ef-a838-6045cb84ea6c,0,F,20,1444,2,85,8,Edge,Android,Social media,2024-09-27 02:39:43.142716,Minas Gerais,Ouro Preto,0
69bd1513-7dd7-11ef-96a6-6045cb84ea6c,1,F,23,58,68,3,0,FireFox,Windows,Social media,2024-09-27 02:40:29.721470,Rio de Janeiro,Niteroi,1
6c339950-7dd7-11ef-b92d-6045cb84ea6c,1,M,20,46,30,90,21,Edge,Android,Social media,2024-09-29 01:27:52.853623,Sao Paulo,Sao Paulo,0
6b389c60-7dd7-11ef-8da5-6045cb84ea6c,0,M,19,4,24,98,0,Edge,Android,Direct,2024-09-27 05:07:01.208747,Rio de Janeiro,Rio de Janeiro,0
6c0b53b3-7dd7-11ef-a205-6045cb84ea6c,0,M,28,47,20,6,0,Chrome,Windows,Social media,2024-09-25 01:55:10.589699,Sao Paulo,Campinas,1
69a5d0e8-7dd7-11ef-9d18-6045cb84ea6c,1,F,28,26,69,67,0,Edge,Android,Search engine,2024-09-27 00:18:28.568996,Sao Paulo,Sao Paulo,0
6b30e649-7dd7-11ef-bebf-6045cb84ea6c,1,M,20,2171,59,6,0,Edge,Windows,Social media,2024-09-30 13:43:16.158215,Sao Paulo,Sao Paulo,1
6bd65aff-7dd7-11ef-92fb-6045cb84ea6c,0,M,27,44,55,52,16,Chrome,Windows,Social media,2024-09-24 01:02:14.242546,Sao Paulo,Campinas,0
6b8b5d25-7dd7-11ef-85ca-6045cb84ea6c,0,M,16,16,87,85,0,Chrome,Windows,Social media,2024-09-30 05:19:05.751080,Rio de Janeiro,Petropolis,0
6b495e07-7dd7-11ef-a2cd-6045cb84ea6c,1,M,19,48,63,58,0,FireFox,Windows,Search engine,2024-09-27 00:49:23.318563,Minas Gerais,Ouro Preto,0
69f2e65c-7dd7-11ef-a6ee-6045cb84ea6c,0,F,20,23,79,59,0,FireFox,IOS,Social media,2024-09-27 02:52:27.074172,Sao Paulo,Santos,0
69b83cad-7dd7-11ef-a221-6045cb84ea6c,0,F,28,49,22,44,0,Chrome,macOS,Social media,2024-09-25 02:08:11.689716,Minas Gerais,Uberlandia,0
6bb9f36b-7dd7-11ef-b289-6045cb84ea6c,1,M,26,46,46,27,0,Opera,Windows,Social media,2024-09-27 02:11:23.056394,Sao Paulo,Campinas,1
6a102853-7dd7-11ef-9850-6045cb84ea6c,0,F,17,7,45,57,2,Opera,Windows,Social media,2024-09-27 01:16:22.265915,Sao Paulo,Santos,0
6b2c24d7-7dd7-11ef-8665-6045cb84ea6c,1,M,31,19,37,2,0,Chrome,macOS,Direct,2024-09-27 01:15:15.127048,Sao Paulo,Sao Paulo,1
6b24ec29-7dd7-11ef-9f82-6045cb84ea6c,1,M,28,36,61,16,0,FireFox,Windows,Social media,2024-09-26 02:35:35.079720,Sao Paulo,Campinas,1
6bf0c737-7dd7-11ef-83f1-6045cb84ea6c,1,M,17,58,57,68,0,Edge,Windows,Social media,2024-09-29 18:21:46.415706,Rio de Janeiro,Niteroi,0
6a796466-7dd7-11ef-b684-6045cb84ea6c,0,F,27,15,19,7,0,Edge,Android,Social media,2024-09-27 02:24:26.955581,Sao Paulo,Santos,1
