session_id,logged,gender,age,page_view_time,session_duration_minutes,page_scroll_depth,frustration_count,browser,operating_system,referal_source,date,state,city,contacted
5982f2f5-89c5-11ef-a31a-6045cb84ea6c,1,F,17,16,87,16,10,FireFox,Windows,Search engine,2024-10-10 04:44:11.509144,Sao Paulo,Santos,0
59ff9818-89c5-11ef-903e-6045cb84ea6c,1,F,28,57,30,52,3,Chrome,Windows,Search engine,2024-10-11 06:47:39.326018,Sao Paulo,Sao Paulo,0
5aca0e9e-89c5-11ef-b04e-6045cb84ea6c,0,M,20,30,67,3,2,Chrome,Windows,Social media,2024-10-08 08:28:15.653880,Sao Paulo,Sao Paulo,1
5af566da-89c5-11ef-803f-6045cb84ea6c,1,M,21,27,85,37,0,FireFox,macOS,Social media,2024-10-11 15:59:40.937944,Sao Paulo,Santos,0
59a0bb57-89c5-11ef-aa37-6045cb84ea6c,0,F,24,42,51,78,0,Chrome,IOS,Search engine,2024-10-11 09:13:34.704328,Sao Paulo,Campinas,0
5adbfcfe-89c5-11ef-bf96-6045cb84ea6c,0,M,29,7,5,55,0,Edge,Windows,Search engine,2024-10-13 07:11:06.770393,Sao Paulo,Campinas,0
5a20a407-89c5-11ef-b174-6045cb84ea6c,1,F,23,0,16,70,0,Opera,Windows,Social media,2024-10-09 06:26:30.542592,Sao Paulo,Santos,0
59ea5d93-89c5-11ef-9791-6045cb84ea6c,1,F,25,33,56,69,0,Edge,Windows,Social media,2024-10-11 06:25:22.186894,Sao Paulo,Campinas,0
5a96f3fc-89c5-11ef-b77d-6045cb84ea6c,1,M,34,18,34,43,0,FireFox,Android,Social media,2024-10-11 07:15:03.317964,Rio de Janeiro,Petropolis,0
5a4633bf-89c5-11ef-9c6a-6045cb84ea6c,0,F,32,19,3,23,0,Edge,macOS,Direct,2024-10-11 04:56:48.788755,Minas Gerais,Ouro Preto,1
5b60e70a-89c5-11ef-aaf0-6045cb84ea6c,0,M,18,12,65,86,0,Chrome,Windows,Direct,2024-10-11 06:24:18.642459,Sao Paulo,Santos,0
5a74e66f-89c5-11ef-b495-6045cb84ea6c,0,F,19,45,69,30,0,Edge,Windows,Search engine,2024-10-11 19:51:25.094794,Minas Gerais,Ouro Preto,1
5988c598-89c5-11ef-b72e-6045cb84ea6c,0,F,31,7,54,38,1,FireFox,Android,Social media,2024-10-11 07:14:09.547304,Rio de Janeiro,Niteroi,0
597e7e54-89c5-11ef-a516-6045cb84ea6c,1,F,25,338,85,85,0,Edge,Windows,Social media,2024-10-11 07:16:16.480943,Minas Gerais,Ouro Preto,0
5ae98173-89c5-11ef-8f5a-6045cb84ea6c,0,M,34,59,39,4,3,Chrome,Windows,Direct,2024-10-11 06:46:57.858981,Sao Paulo,Campinas,0
59f3e374-89c5-11ef-a2b0-6045cb84ea6c,0,F,24,34,49,59,0,FireFox,Windows,Search engine,2024-10-14 05:15:28.249304,Sao Paulo,Sao Paulo,0
5b99fb0d-89c5-11ef-bcd9-6045cb84ea6c,0,M,20,38,56,33,0,Opera,Android,Social media,2024-10-12 04:08:57.015527,Sao Paulo,Santos,1
59c9050c-89c5-11ef-bbca-6045cb84ea6c,0,F,23,41,28,17,0,FireFox,IOS,Social media,2024-10-11 19:37:27.968359,Rio de Janeiro,Petropolis,1
5b80192e-89c5-11ef-b692-6045cb84ea6c,1,M,25,36,7,27,0,Edge,Android,Social media,2024-10-11 07:08:12.845905,Rio de Janeiro,Rio de Janeiro,1
5948a965-89c5-11ef-849c-6045cb84ea6c,1,F,20,17,5,28,0,Chrome,Android,Social media,2024-10-11 08:07:45.127152,Sao Paulo,Campinas,1
59977295-89c5-11ef-9b3c-6045cb84ea6c,1,F,20,1,21,19,0,Edge,Windows,Social media,2024-10-10 04:45:43.643483,Rio de Janeiro,Petropolis,1
5adc9b44-89c5-11ef-a462-6045cb84ea6c,1,M,32,54,14,51,3,Edge,Windows,Social media,2024-10-11 04:50:35.774445,Minas Gerais,Ouro Preto,0
5b79cb4b-89c5-11ef-88df-6045cb84ea6c,0,M,24,21,57,56,0,FireFox,Windows,Social media,2024-10-11 06:06:48.804589,Sao Paulo,Campinas,0
599214b3-89c5-11ef-a475-6045cb84ea6c,1,F,24,52,2,56,0,FireFox,Android,Social media,2024-10-11 09:36:31.608312,Sao Paulo,Santos,1
59453276-89c5-11ef-b387-6045cb84ea6c,0,F,19,35,55,50,0,FireFox,Windows,Social media,2024-10-11 06:01:26.105446,Sao Paulo,Sao Paulo,0
5a704d13-89c5-11ef-83f8-6045cb84ea6c,0,F,24,21,6,34,0,Chrome,IOS,Social media,2024-10-11 07:10:39.065654,Rio de Janeiro,Niteroi,1
594f2ef0-89c5-11ef-81f2-6045cb84ea6c,1,F,28,1202,1,28,0,Edge,Windows,Direct,2024-10-11 07:57:52.169892,Rio de Janeiro,Petropolis,1
5acafb35-89c5-11ef-a7e1-6045cb84ea6c,0,M,22,44,35,78,0,FireFox,Windows,Search engine,2024-10-09 03:56:39.658936,Minas Gerais,Uberlandia,0
5b97107b-89c5-11ef-baa7-6045cb84ea6c,0,M,27,35,50,20,0,Edge,Windows,Social media,2024-10-11 06:33:25.996415,Sao Paulo,Santos,1
5b847947-89c5-11ef-b1e3-6045cb84ea6c,0,M,18,34,70,5,0,FireFox,Windows,Search engine,2024-10-14 06:01:16.875578,Minas Gerais,Ouro Preto,1
593f0c56-89c5-11ef-93b0-6045cb84ea6c,1,F,29,8,65,52,0,FireFox,Windows,Social media,2024-10-09 08:08:17.064149,Rio de Janeiro,Niteroi,0
5b2ec342-89c5-11ef-b847-6045cb84ea6c,0,M,23,18,83,86,0,Chrome,Windows,Social media,2024-10-11 06:18:58.312864,Sao Paulo,Sao Paulo,0
5b8c86ef-89c5-11ef-bba7-6045cb84ea6c,0,M,29,49,89,9,18,FireFox,Windows,Search engine,2024-10-10 02:16:23.927358,Minas Gerais,Ouro Preto,0
59378725-89c5-11ef-851a-6045cb84ea6c,1,F,23,24,71,17,7,Chrome,Windows,Direct,2024-10-11 10:33:06.015864,Sao Paulo,Santos,0
59f7eeef-89c5-11ef-b5d0-6045cb84ea6c,1,F,23,31,42,94,0,FireFox,Windows,Social media,2024-10-11 03:31:33.275812,Rio de Janeiro,Rio de Janeiro,0
5a5516c3-89c5-11ef-b599-6045cb84ea6c,0,F,17,23,3,50,0,Opera,Windows,Social media,2024-10-08 04:25:51.886316,Rio de Janeiro,Niteroi,1
5b9c6fad-89c5-11ef-b5e8-6045cb84ea6c,1,M,25,29,9,10,0,Edge,Windows,Social media,2024-10-11 08:38:21.031620,Sao Paulo,Santos,1
5a9da12c-89c5-11ef-b75b-6045cb84ea6c,0,M,18,9,5,69,0,Edge,Windows,Social media,2024-10-11 08:06:00.362719,Sao Paulo,Santos,1
5b005f92-89c5-11ef-aa67-6045cb84ea6c,1,M,29,1,37,76,0,Edge,Windows,Social media,2024-10-11 06:13:07.009844,Sao Paulo,Campinas,0
59655f80-89c5-11ef-a060-6045cb84ea6c,1,F,25,49,29,88,23,FireFox,macOS,Social media,2024-10-10 23:31:23.315315,Rio de Janeiro,Petropolis,0
5a9fed62-89c5-11ef-aae8-6045cb84ea6c,1,M,20,39,87,28,0,FireFox,Windows,Social media,2024-10-10 06:11:54.376777,Minas Gerais,Ouro Preto,0
5b99fb0f-89c5-11ef-b1e3-6045cb84ea6c,1,M,26,39,47,43,0,Edge,Windows,Social media,2024-10-11 08:17:44.015527,Sao Paulo,Santos,0
